Python工程师-大数据方向,本科,北京,上市公司,高思教育集团,"教育,移动互联网",15k-30k,海淀区,"领导好,氛围好,成长快,平台广阔",2000人以上,3-5年
103-中级Python开发工程师,本科,上海,D轮及以上,华云数据,"移动互联网,数据服务",15k-25k,杨浦区,各项补贴 带薪年病假 弹性上下班,500-2000人,3-5年
Python软件工程师,大专,宁波,未融资,宁波清车电气有限公司,电子商务,6k-8k,镇海区,"五险一金,做五休二,带薪年假,年底双薪",15-50人,1-3年
python工程师,本科,上海,B轮,上海大岂网络科技有限公司,移动互联网,10k-20k,徐汇区,"B轮公司,大数据团队,发展空间大,超长年假",50-150人,1-3年
python工程师(北京),本科,北京,B轮,码隆科技,移动互联网,15k-25k,海淀区,发展前景广阔,50-150人,1-3年
Python,大专,武汉,不需要融资,武汉佰钧成技术有限公司,移动互联网,15k-30k,东湖新技术开发区,"牛人团队,薪资高,福利好",2000人以上,3-5年
Python研发工程师,本科,北京,D轮及以上,出门问问,"移动互联网,O2O",12k-24k,海淀区,"年底多薪,弹性工作制,免费健身房,午晚餐补助",150-500人,1-3年
Python开发工程师,本科,北京,A轮,超对称,"移动互联网,企业服务",12k-20k,朝阳区,"五险一金,每周运动,无限量零食,好老板",15-50人,1-3年
Python,本科,北京,C轮,会分期,移动互联网、金融,15K-25K,海淀区,"行业领先,激情团队,扁平化管理,团队氛围好",150-500人,3-5年
PHP/Python开发工程师,本科,珠海,天使轮,利保,"移动互联网,硬件",10k-20k,香洲区,"发展前景大,领导好相处,不定期加薪,办公环境好",15-50人,3-5年
Python后台开发工程师（深圳）,本科,深圳,不需要融资,平安科技,金融,10k-15k,福田区,世界500强 带薪年假 节日福利 绩效丰厚,2000人以上,不限
python工程师,本科,太原,不需要融资,优逸客,移动互联网,8k-12k,小店区,五险一金,50-150人,1-3年
Python开发／后端软件工程师.,本科,上海,B轮,Juwai,移动互联网,20k-30k,虹口区,氛围好,50-150人,3-5年
Python开发,本科,上海,A轮,果雪科技,移动互联网,15k-25k,闵行区,"技术大牛,各类补贴,氛围好,年终奖金",50-150人,3-5年
Python开发工程师,本科,上海,B轮,助理来也,移动互联网,15k-30k,徐汇区,"发展空间,大牛交流,五险一金,福利补贴",50-150人,1-3年
Python工程师,本科,北京,不需要融资,云蜂科技,移动互联网,15k-25k,海淀区,"发展空间大,技术氛围好,办公环境好,简单开放",50-150人,3-5年
Python 研发工程师,本科,武汉,D轮及以上,青云,数据服务,12k-24k,洪山区,"大牛团队,工程师文化,公司上升期",150-500人,1-3年
Python开发工程师,本科,上海,A轮,DAOCLOUD,"企业服务,数据服务",20k-40k,杨浦区,"15天年假,5天病假,年终多薪,公司前景",150-500人,3-5年
高级python开发工程师,大专,深圳,上市公司,环球易购,电子商务,12k-20k,南山区,上市公司,2000人以上,3-5年
python高级开发工程师,大专,深圳,B轮,掌贝（云移科技）,"移动互联网,O2O",18k-25k,福田区,五险一金 定期培训 年度体检 生日福利,500-2000人,5-10年
Python开发工程师（中高级）,本科,成都,不需要融资,路行通,"移动互联网,生活服务",12k-20k,高新区,"高绩效奖励,多维度发展,完善福利,人性化管理",500-2000人,3-5年
python工程师,本科,郑州,不需要融资,中原消费金融,"移动互联网,金融",10k-20k,中原区,"领导好,待遇优",50-150人,1-3年
Python,本科,北京,B轮,妙计旅行,旅游,8k-16k,东城区,"免费三餐,晋升空间,福利待遇好",150-500人,1-3年
Python开发工程师,本科,西安,A轮,BOO!,"移动互联网,社交网络",10k-20k,雁塔区,"弹性工作,扁平管理,五险一金,健身福利",50-150人,3-5年
高级python开发工程师,大专,深圳,未融资,博奥特科技,"移动互联网,金融",15k-25k,福田区,"行业前景好,发展空间大,有“钱”景",150-500人,3-5年
Python高级工程师,本科,北京,不需要融资,高域海汇,移动互联网,15k-30k,朝阳区,年底双薪,50-150人,1-3年
高级python研发工程师,本科,成都,不需要融资,路行通,"移动互联网,生活服务",15k-20k,高新区,"高绩效奖励,多维度发展,完善福利,人性化管理",500-2000人,5-10年
Python开发工程师,本科,北京,B轮,钱方好近,金融,25k-30k,朝阳区,六险一金，带薪年假，年度体检，自由氛围。,150-500人,3-5年
Python软件开发工程师,大专,广州,上市公司,广州玖维信息科技有限公司,"移动互联网,数据服务",3k-5k,天河区,"周末双休,五险一金,节日福利,提供食宿",150-500人,1年以下
高级Python开发工程师,本科,北京,C轮,智融集团,金融,20k-40k,,"成长空间,技术驱动,顶尖团队,弹性工作",150-500人,3-5年
python开发工程师,本科,深圳,A轮,乐易网络,"移动互联网,游戏",10k-20k,南山区,"五险一金,年终奖金,两次调薪,大神指导",150-500人,3-5年
Python开发工程师,本科,北京,C轮,闪银奇异,"移动互联网,金融",18k-35k,朝阳区,"全五险一金,牛人多,发展快,福利好",500-2000人,1-3年
Python开发工程师,本科,成都,不需要融资,俊云科技,"移动互联网,硬件",10k-15k,高新区,"高薪资,丰厚年终奖,期权,百万级产品",50-150人,1-3年
Python工程师,本科,北京,不需要融资,凡普金科,金融,25k-35k,东城区,"六险一金,数据驱动,敏捷开发,行业风口",2000人以上,3-5年
高级python开发工程师-SH415-41509,本科,上海,D轮及以上,点融网,金融,20k-40k,黄浦区,"前景好,福利好",500-2000人,3-5年
高级/资深 python开发工程师,本科,杭州,C轮,Club Factory,"电子商务,移动互联网",20k-30k,西湖区,"高流量,高并发,技术成长快,世界级产品",150-500人,3-5年
python高级研发,大专,上海,A轮,Vechain,"移动互联网,信息安全",20k-35k,静安区,"五险一金,不打卡,免费午餐",50-150人,3-5年
Python开发,本科,北京,B轮,钱方好近,金融,20k-30k,朝阳区,"试用期全薪,餐补,六险一金,年终奖",150-500人,3-5年
python开发工程师,大专,深圳,未融资,博奥特科技,"移动互联网,金融",10k-20k,福田区,"晋升空间大,福利待遇好",150-500人,1-3年
中级python研发工程师,本科,成都,不需要融资,路行通,"移动互联网,生活服务",8k-15k,高新区,"高绩效奖励,多维度发展,完善福利,人性化管理",500-2000人,3-5年
Python工程师,本科,北京,B轮,妙计旅行,旅游,8k-16k,东城区,"晋升空间,免费三餐,福利待遇好",150-500人,1-3年
python研发工程师,本科,北京,未融资,艾唯博瑞,"移动互联网,企业服务",15k-25k,东城区,绩效奖金带薪年假五险一金岗位晋升,15-50人,3-5年
Python开发工程师-pass平台方向,本科,北京,上市公司,京东金融,金融,25k-50k,通州区,年终奖，带薪年假，班车，午餐晚餐,2000人以上,5-10年
Python开发工程师,本科,广州,上市公司,蓝盾信息安全技术股份有限公司,信息安全,12k-22k,天河区,双休、晋升快,500-2000人,1-3年
高级 Python 研发工程师（上海）,本科,上海,A轮,DAOCLOUD,"企业服务,数据服务",10k-20k,杨浦区,"大牛环绕,弹性工作,福利优厚",150-500人,3-5年
Python研发中级工程师,本科,北京,A轮,掌控,"移动互联网,电子商务",15k-30k,海淀区,行业第一 技术导向 大用户 大数据 超强团队,15-50人,3-5年
高级Python工程师,本科,北京,天使轮,星尘数据,"数据服务,移动互联网",20k-35k,朝阳区,"极客团队,算法加持,硅谷文化,百度阿里",15-50人,3-5年
Python研发工程师,本科,北京,B轮,LBE 科技,移动互联网,15k-25k,朝阳区,"海外APP,社/公全额,海外团建,工作居住证",50-150人,1-3年
高级Python开发工程师,本科,深圳,A轮,杉岩数据,"企业服务,数据服务",16k-23k,南山区,"领导好,发展空间大,9点半上班,扁平化管理",15-50人,3-5年
Python研发工程师,大专,北京,A轮,诚信互通,"移动互联网,企业服务",15k-30k,海淀区,五险一金,150-500人,3-5年
Python 中级研发工程师,本科,北京,不需要融资,北京中铁信,其他,15k-30k,海淀区,前景好，平台广阔，福利完善,50-150人,3-5年
Python开发工程师,本科,成都,不需要融资,网信集团,"移动互联网,金融",8k-16k,高新区,"六险一金,弹性工作制,股票期权,饭补",2000人以上,3-5年
Python开发工程师,本科,上海,A轮,DAOCLOUD,"企业服务,数据服务",10k-20k,杨浦区,"大牛环绕,弹性工作,福利优厚",150-500人,1-3年
Python工程师（智能硬件）,本科,北京,B轮,学堂在线,"移动互联网,教育",20k-30k,海淀区,"五险一金,交通补,免费早餐,生日趴",150-500人,5-10年
python工程师,本科,北京,B轮,乐信圣文,移动互联网,15k-30k,海淀区,"五险一金,免费工作餐,年终奖,高端医疗",50-150人,1-3年
python高级工程师,不限,上海,不需要融资,语酷网络,"社交网络,企业服务",20k-40k,静安区,"高房补,定制午餐,出国旅游,福利多多",15-50人,不限
高级Python开发工程师,本科,深圳,上市公司,明源云链,"移动互联网,企业服务",16k-22k,南山区,"牛人多,扁平化管理",2000人以上,3-5年
Python开发工程师(云栖小镇),本科,杭州,不需要融资,武汉佰钧成技术有限公司,移动互联网,10k-18k,西湖区,"大牛,最新领域,技术,美女",2000人以上,1-3年
python研发工程师,本科,北京,不需要融资,物灵,"硬件,移动互联网",15k-30k,朝阳区,"人工智能,万物有灵,黑科技,硅谷范",150-500人,3-5年
Python高级开发工程师,本科,北京,B轮,第三石科技,"移动互联网,电子商务",18k-36k,朝阳区,良好的技术氛围，丰厚的福利待遇,50-150人,3-5年
高级python工程师,本科,北京,A轮,陪我,"移动互联网,金融",25k-40k,海淀区,"核心产品,团队氛围好,业务前景大,指导新人",50-150人,3-5年
python工程师,大专,广州,B轮,推想科技,"医疗健康,数据服务",6k-12k,白云区,"人工智能,快速成长,弹性工时,14薪",50-150人,1年以下
Python工程师,本科,上海,A轮,italki,"电子商务,教育",10k-20k,静安区,"国际化团队,福利太多,企业文化,技术驱动",50-150人,1-3年
Python高级开发,本科,上海,不需要融资,趣头条,移动互联网,15k-30k,浦东新区,发展空间,500-2000人,5-10年
Python开发经理,本科,北京,B轮,蓝信移动（北京）科技有限公司,移动互联网,20k-35k,朝阳区,"360旗下,靠谱大平台,薪资福利好,技术大牛多",150-500人,5-10年
HY2-python后台开发工程师（深圳）,本科,深圳,上市公司,腾讯,"移动互联网 ,游戏",18k-30k,南山区,"五险一金,绩效奖金,带薪休假",2000人以上,3-5年
Python工程师,大专,深圳,不需要融资,阿鹿,"移动互联网,医疗健康",15k-25k,南山区,"上市公司,实力雄厚,人性化管理,福利众多",50-150人,1-3年
资深Python研发工程师,本科,苏州,天使轮,NaturLing教育科技,"移动互联网,教育",15k-25k,工业园区,"弹性工作,硅谷文化,国际化团队,股权激励",少于15人,3-5年
python开发工程师,本科,北京,B轮,博云,"移动互联网,企业服务",10k-20k,海淀区,"Linux,pytho,自动化",150-500人,1-3年
中级PYTHON开发工程师,大专,深圳,未融资,博奥特科技,"移动互联网,金融",22k-25k,福田区,"提升空间大,金融行业,行业前景广",150-500人,5-10年
Python,本科,北京,A轮,Quantex,"移动互联网,金融",20k-40k,西城区,"人工智能,对接美国,不打卡,西直门地铁",50-150人,3-5年
python开发工程师,本科,上海,不需要融资,瞬联软件科技（北京）有限公司,"移动互联网 ,企业服务",10k-15k,长宁区,五险一金、弹性工作制、带薪年假、内部培训,500-2000人,不限
Linux C++/Python中高级研发工程师,本科,北京,B轮,好巧,数据服务,25k-35k,朝阳区,"高增长,五险一金,弹性工作,有期权",150-500人,3-5年
python高级后端工程师,本科,北京,C轮,Face++,"移动互联网,硬件",25k-50k,海淀区,核心团队,500-2000人,5-10年
python开发工程师(深圳),本科,深圳,B轮,码隆科技,移动互联网,20k-40k,盐田区,发展前景广阔,50-150人,1-3年
Python中级研发工程师,本科,北京,不需要融资,北京中铁信,其他,14k-23k,海淀区,福利好，前景好。平台好。,50-150人,3-5年
Python工程师,本科,北京,B轮,大鱼自助游,旅游,15k-30k,朝阳区,"氛围轻松,有成就感,成长空间大",50-150人,1-3年
Python/PyQt PC客户端高级开发工程师,本科,北京,天使轮,爱乐宝机器人,"移动互联网,硬件",15k-20k,海淀区,"氛围开发,发展空间大,老板好沟通,技术大牛多",15-50人,3-5年
Python量化工程师,本科,上海,不需要融资,浮石资本,金融,20k-40k,浦东新区,"五险一金,薪酬福利,环境优越,升职潜力",150-500人,3-5年
python工程师,本科,杭州,天使轮,云汽配配,移动互联网,18k-30k,上城区,"双休,五险一金,友爱团队,地铁周边",15-50人,1-3年
Python开发工程师/爬虫工程师,本科,北京,A轮,水滴互助,"移动互联网,医疗健康",20k-40k,朝阳区,五险一金,150-500人,3-5年
Python 工程师,本科,北京,A轮,况客科技,金融,15k-30k,朝阳区,"技术培养,能力提升,培养计划,福利好",15-50人,1-3年
