Python开发工程师,本科,北京,D轮及以上,知乎,"移动互联网,社交网络",15k-30k,海淀区,薪资优厚、氛围宽松、每日三餐、六险一金,500-2000人,3-5年
Python工程师,本科,北京,A轮,爱咔咔,"移动互联网,O2O",15k-30k,海淀区,"北大团队,五百强大牛,期权奖励,专业培训",15-50人,3-5年
Python开发工程师（百度）,本科,北京,不需要融资,微创,"移动互联网,电子商务",10k-15k,海淀区,"六险一金,节假日福利,加班费,食堂班车",2000人以上,1-3年
python开发工程师,本科,北京,C轮,一亩田,"移动互联网,电子商务",20k-36k,海淀区,"临近地铁,大牛团队,六险一金,年终奖",150-500人,3-5年
Python研发工程师,本科,北京,不需要融资,格上添富,"移动互联网,金融",13k-25k,朝阳区,弹性工作，扁平化管理，零食水果,150-500人,3-5年
python开发工程师,本科,北京,A轮,猎户星空,"移动互联网,硬件",15k-30k,朝阳区,绩效奖金 午餐补助 年度旅游 人工智能领域,150-500人,不限
Python开发,大专,厦门,A轮,咕啦,电子商务,6k-10k,思明区,"五险一金,调薪调岗,福利待遇优,周末双休",150-500人,1-3年
搜狗海外输入法-Python高级开发工程师,本科,北京,C轮,搜狗,"移动互联网,数据服务",20k-40k,海淀区,快速成长，感受全球氛围,2000人以上,3-5年
python工程师,本科,成都,不需要融资,网信集团,"移动互联网,金融",10k-20k,高新区,"六险一金,年终奖,项目奖金,下午茶",2000人以上,3-5年
Python研发工程师（北京）,本科,北京,上市公司,Gridsum 国双,"数据服务,企业服务",10k-20k,海淀区,上市公司 前景佳 氛围好 牛人多,500-2000人,1-3年
Python软件开发,本科,杭州,不需要融资,健培,"移动互联网,医疗健康",10k-15k,江干区,高薪、五险一金、氛围好,150-500人,1-3年
python开发工程师,本科,深圳,A轮,Bello,移动互联网,15k-30k,南山区,"硅谷技术,AI领域",15-50人,3-5年
Python 开发工程师,本科,北京,上市公司,金证股份,金融,15k-17k,西城区,"金融央企,五险一金",2000人以上,3-5年
Python开发工程师(193),不限,上海,B轮,助理来也,移动互联网,15k-30k,徐汇区,"pytho,技术驱动",50-150人,不限
Python工程师,本科,北京,B轮,新东方教育行业研究院,"移动互联网,教育",15k-25k,海淀区,"大牛多,平台好,待遇好,流程规范",150-500人,3-5年
Python开发工程师,本科,北京,A轮,合心科技,"移动互联网,教育",20k-35k,海淀区,"大数据处理,自由度大,有挑战,公司午晚餐",15-50人,1-3年
高级Python,本科,北京,C轮,人人行(借贷宝),"移动互联网,金融",25k-35k,朝阳区,九鼎控股；有钱任性；六险一金；福利好,2000人以上,3-5年
Python,本科,北京,不需要融资,零用钱,"移动互联网,广告营销",13k-16k,朝阳区,"一日四餐,六险一金,季度奖金,年度奖金",50-150人,1-3年
python开发工程师,不限,杭州,不需要融资,健培,"移动互联网,医疗健康",6k-10k,江干区,"双休,五险,工作8小时,法定节假日",150-500人,1-3年
Python研发工程师（应届毕业生/实习生）,本科,北京,上市公司,掌阅,移动互联网,8k-15k,朝阳区,"一带一,实践机会,成长空间大",500-2000人,不限
python开发工程师,大专,杭州,不需要融资,武汉佰钧成技术有限公司,移动互联网,11k-20k,余杭区,"周末双休,六险一金,技术提升",2000人以上,1-3年
Python工程师,本科,北京,A轮,摩尔妈妈,移动互联网,15k-30k,朝阳区,"氛围轻松,成长空间大,有成就感",15-50人,1-3年
python研发工程师,硕士,北京,B轮,数美,"企业服务,数据服务",15k-30k,朝阳区,"飞速发展,技术氛围浓,待遇好,发展快",150-500人,1年以下
Python开发工程师,本科,武汉,A轮,阿博茨科技,移动互联网,10k-20k,洪山区,"人工智能,大数据,金融科技",50-150人,3-5年
python工程师,本科,北京,B轮,好巧,数据服务,15k-20k,朝阳区,"带薪年假,五险一金,弹性工作,股票期权",150-500人,3-5年
Python开发工程师,本科,上海,B轮,纳米盒,"移动互联网,教育",15k-25k,浦东新区,发展前景大、工作氛围好、技术牛人多,50-150人,3-5年
python工程师,大专,上海,不需要融资,江苏亿科达,"移动互联网,金融",8k-15k,浦东新区,"年终奖,过节费,旅游,体检",500-2000人,1-3年
